Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,SPY,XOM
2015-03-03,28.791215896606445,19.230499267578125,28.72248077392578,75.8779296875,46.12410354614258,37.15462875366211,175.31459045410156,55.07784652709961
2015-03-04,28.608705520629883,19.13599967956543,28.69965362548828,75.36634826660156,46.24319076538086,36.965782165527344,174.5755157470703,54.801265716552734
2015-03-05,28.1346435546875,19.39150047302246,28.853492736816406,76.01139068603516,46.146427154541016,37.00868606567383,174.76654052734375,54.524681091308594
2015-03-06,28.17693519592285,19.004499435424805,28.430192947387695,74.22454071044922,45.32025909423828,36.36484909057617,172.30857849121094,53.82695007324219
2015-03-09,28.2971248626709,18.92799949645996,28.4897403717041,74.63233184814453,45.77428436279297,36.785499572753906,173.022705078125,53.531494140625
2015-03-10,27.71177101135254,18.475500106811523,27.78258514404297,73.79452514648438,44.6280632019043,36.08154296875,170.21595764160156,52.96575927734375
2015-03-11,27.206544876098633,18.318500518798828,27.576143264770508,72.89739227294922,44.83646011352539,36.038612365722656,169.81735229492188,52.81488800048828
2015-03-12,27.698421478271484,18.711999893188477,27.84808921813965,74.01695251464844,45.67751693725586,35.2144889831543,171.97637939453125,52.94059371948242
2015-03-13,27.506999969482422,18.52899932861328,27.442651748657227,73.55726623535156,45.402122497558594,35.52354049682617,170.92172241210938,52.72059631347656
2015-03-16,27.8096981048584,18.667499542236328,27.871414184570312,74.92889404296875,46.034786224365234,35.67805480957031,173.20542907714844,53.280029296875
2015-03-17,28.274858474731445,18.59600067138672,27.671422958374023,74.06144714355469,45.85615539550781,35.79824447631836,172.6905059814453,52.85258865356445
2015-03-18,28.593130111694336,18.756999969482422,28.095720291137695,75.2254867553711,45.96035385131836,36.48502731323242,174.76654052734375,54.103515625
2015-03-19,28.377243041992188,18.66200065612793,27.972148895263672,75.39601135253906,45.550994873046875,36.30474853515625,173.96937561035156,53.06003952026367
2015-03-20,28.021135330200195,18.92449951171875,28.03567123413086,75.92243194580078,45.96035385131836,36.811241149902344,175.5048828125,53.14176940917969
